,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
1033,0.03,0.77,0.04,0.1,33.7,61.1,0.61,172.4,2.06,0.13,1.7,20.9,2.44,2.25,2.73,1.96,4.21
1035,0.0,0.16,0.0,0.0,59.6,71.6,0.39,287.3,0.06,0.03,0.64,6.53,3.38,1.51,1.09,0.96,2.22
1036,0.24,0.48,0.5,0.0,46.7,65.7,0.0,221.7,0.0,0.0,0.71,11.7,4.05,2.38,2.38,1.19,1.43
1041,0.07,0.88,0.08,0.03,61.3,80.2,0.2,290.9,0.07,0.03,0.48,7.76,5.41,1.84,2.21,0.51,3.98
1046,0.0,1.0,0.0,0.25,36.5,63.8,1.75,197.5,3.75,0.25,1.0,25.3,0.75,1.0,4.5,1.5,1.5
1048,0.07,0.47,0.14,0.03,30.9,51.0,0.17,146.7,0.17,0.07,0.7,8.8,5.92,3.68,2.07,1.0,3.48
1049,0.14,0.68,0.2,0.0,35.9,60.1,0.55,128.5,1.78,0.0,0.96,11.2,2.33,1.64,2.05,1.1,1.23
1052,0.0,0.0,0.0,0.0,45.2,64.0,0.0,271.9,0.0,0.0,0.95,6.9,6.19,1.67,1.19,0.71,3.1
1056,0.0,0.05,0.0,0.0,33.5,54.4,1.02,148.0,1.35,0.0,1.58,14.0,2.74,1.77,1.91,1.44,1.26
1057,0.04,0.29,0.13,0.0,33.7,51.7,0.33,141.8,0.18,0.04,1.43,9.19,4.63,2.68,1.88,0.74,1.91
1058,0.0,0.21,0.0,0.0,28.1,44.0,0.1,138.3,0.0,0.0,1.35,10.1,4.2,2.28,1.81,0.93,2.02
1059,0.04,0.63,0.06,0.08,61.3,83.3,1.07,269.5,1.87,0.16,1.47,9.21,2.66,1.9,1.87,0.6,1.55
1062,0.0,1.04,0.0,0.06,36.5,63.4,1.59,245.1,1.83,0.3,1.59,17.0,1.65,3.29,2.68,1.65,0.24
1064,0.19,0.58,0.33,0.0,56.3,80.8,0.58,228.5,1.73,0.0,1.54,15.0,2.31,0.38,3.08,1.15,0.38
1065,0.05,0.33,0.17,0.05,72.6,84.8,0.11,285.2,0.22,0.11,0.66,8.36,3.28,1.31,1.8,1.26,1.2
1066,0.11,0.34,0.33,0.06,27.3,45.9,0.17,136.0,0.0,0.06,0.68,5.65,6.55,3.79,1.19,0.68,2.26
1067,0.0,0.82,0.0,0.04,79.0,100.0,0.17,283.6,1.47,0.17,1.21,10.2,2.42,1.99,1.82,0.78,2.34
1068,0.0,1.0,0.0,0.0,66.8,94.2,0.6,391.4,0.8,0.0,2.4,15.2,4.6,3.0,1.4,1.8,3.8
1070,0.21,1.22,0.17,0.21,38.8,66.5,1.64,258.4,4.66,0.42,1.01,14.1,1.96,2.91,1.16,1.9,0.63
1074,0.03,0.83,0.04,0.03,32.0,55.8,1.59,203.3,2.52,0.07,1.16,11.6,2.88,1.79,1.72,0.66,0.63
1075,0.0,0.44,0.0,0.0,37.5,58.3,0.28,168.5,1.65,0.0,0.97,10.4,2.38,1.61,2.02,1.09,1.33
1076,0.0,0.49,0.0,0.08,42.3,65.9,1.06,168.4,2.11,0.16,1.54,14.3,1.79,1.22,1.87,1.87,0.81
1077,0.06,1.21,0.05,0.06,29.4,55.5,2.55,194.6,1.85,0.13,0.96,14.5,0.96,2.23,1.34,1.21,0.96
1079,0.34,1.72,0.2,0.17,32.9,60.1,1.21,151.8,1.64,0.43,1.03,22.3,2.41,2.5,2.59,2.16,1.21
1081,0.09,0.91,0.1,0.27,47.3,72.5,0.91,177.1,1.55,0.55,2.27,17.6,2.91,2.27,2.45,0.73,2.09
1082,0.0,0.1,0.0,0.07,58.2,75.4,0.5,260.3,0.81,0.13,0.91,9.06,2.21,1.91,2.15,0.77,1.44
1086,0.0,0.53,0.0,0.05,32.0,51.4,0.48,153.1,0.05,0.16,1.38,14.6,2.71,1.54,2.02,1.76,1.86
1087,0.26,1.44,0.16,0.19,35.8,58.3,0.83,214.1,4.7,0.42,0.93,11.5,1.05,1.95,1.92,0.96,1.79
1088,0.0,1.06,0.0,0.06,27.3,53.1,0.67,163.6,2.72,0.17,1.11,18.1,2.56,1.33,1.67,1.94,1.0
1089,0.04,0.32,0.11,0.04,43.6,59.7,0.25,223.8,0.29,0.07,1.08,11.5,2.81,2.27,1.55,1.8,1.98
1091,0.05,0.25,0.2,0.0,39.5,58.0,0.0,176.5,0.05,0.0,0.79,8.86,4.36,2.33,2.23,0.5,2.03
1093,0.05,0.81,0.06,0.0,41.2,57.4,0.14,121.9,0.09,0.05,0.9,6.88,4.71,2.22,1.76,1.36,3.44
1094,0.0,0.76,0.0,0.17,42.7,67.2,0.67,239.2,2.18,0.25,1.43,10.3,1.34,1.01,2.18,1.51,1.26
1098,0.28,0.83,0.33,0.0,26.7,50.8,1.94,151.4,1.67,0.0,3.06,20.0,2.5,2.5,1.11,3.06,0.56
1099,0.0,0.53,0.0,0.0,34.3,55.3,0.11,142.3,0.15,0.0,1.06,9.58,6.44,2.39,1.89,0.53,3.3
1100,0.0,0.25,0.0,0.04,41.9,60.9,1.24,180.6,1.02,0.14,1.87,14.2,2.3,2.12,1.41,1.2,0.6
1101,0.0,0.86,0.0,0.12,29.9,56.4,0.37,119.4,0.49,0.12,1.98,17.7,3.33,2.84,3.09,2.22,1.6
1104,0.03,0.6,0.06,0.03,39.5,64.4,0.2,135.4,0.94,0.1,1.27,9.4,5.85,1.87,1.64,0.4,5.05
1105,0.04,0.82,0.05,0.0,65.0,81.2,0.26,319.4,0.0,0.22,0.69,7.16,4.7,1.51,1.42,1.47,3.84
1106,0.0,0.38,0.0,0.16,36.1,60.5,0.22,124.3,2.75,0.44,0.93,10.5,2.2,1.26,2.36,0.88,0.93
1111,0.0,0.0,0.0,0.0,59.5,79.3,0.43,351.3,0.0,0.0,1.52,11.8,4.67,3.59,1.3,1.41,1.96
1113,0.08,0.53,0.15,0.0,46.5,68.4,0.12,265.7,0.33,0.08,1.56,12.3,3.52,1.89,2.42,1.64,2.09
1114,0.0,0.21,0.0,0.0,31.4,47.1,0.0,129.3,0.0,0.0,0.74,8.72,3.94,1.91,1.28,0.74,1.6
1120,0.0,1.05,0.0,0.18,37.9,59.8,0.53,148.6,2.11,0.53,2.11,16.1,1.4,1.23,1.93,1.93,1.05
1125,0.0,0.66,0.0,0.04,26.5,49.0,0.7,111.1,1.8,0.16,2.11,15.6,2.54,2.11,2.07,1.8,1.17
1129,0.0,0.32,0.0,0.0,43.1,61.1,0.48,173.5,1.13,0.0,0.81,8.87,3.06,1.61,1.45,0.81,2.1
1130,0.12,0.53,0.22,0.0,31.3,46.6,0.0,180.7,0.06,0.0,0.71,8.71,4.88,1.59,1.65,1.53,2.29
1132,0.23,0.46,0.5,0.0,33.8,47.6,0.38,143.4,0.0,0.0,1.0,6.54,3.31,1.38,1.15,0.62,1.85
1134,0.0,0.69,0.0,0.0,31.0,60.1,0.3,164.5,0.59,0.0,1.98,12.1,5.25,2.77,2.87,1.68,3.66
1135,0.22,1.35,0.17,0.0,87.2,100.2,0.45,425.1,0.0,0.11,0.79,8.54,3.15,1.01,0.67,1.35,1.57
1137,0.04,0.38,0.11,0.0,29.7,51.4,1.03,124.2,1.84,0.04,0.98,9.15,2.56,1.79,1.84,0.81,1.15
1138,0.0,0.53,0.0,0.0,46.6,58.7,0.0,190.3,0.26,0.0,1.58,12.6,5.26,1.58,1.05,1.32,4.21
1140,0.1,0.82,0.12,0.36,48.2,75.3,1.11,200.7,5.95,0.59,1.18,13.5,1.67,1.47,1.67,0.95,1.14
1142,0.0,0.41,0.0,0.1,31.8,56.3,0.76,202.8,1.83,0.1,1.07,13.4,2.34,2.34,1.93,1.22,1.32
1143,0.09,0.99,0.1,0.14,34.9,58.8,0.89,163.4,2.77,0.23,1.31,14.0,2.02,1.97,1.5,1.17,1.46
1144,0.0,0.33,0.0,0.16,56.8,70.8,0.66,195.2,0.41,0.16,1.07,9.84,2.79,1.23,1.23,1.48,2.3
1150,0.07,0.69,0.1,0.07,57.9,79.5,0.14,287.4,0.0,0.28,1.24,11.8,4.28,2.62,2.55,0.9,4.76
1151,0.0,0.82,0.0,0.0,64.5,87.3,2.45,213.3,1.22,0.0,3.06,19.6,1.22,1.43,2.24,3.06,0.61
1152,0.0,0.55,0.0,0.0,46.9,74.8,0.87,150.4,2.24,0.11,1.42,15.5,2.4,2.62,2.9,0.87,1.8
1154,0.05,0.9,0.06,0.15,40.2,64.9,1.25,229.1,2.45,0.25,1.65,11.3,1.85,1.8,1.9,1.3,1.2
1155,0.0,0.67,0.0,0.13,34.3,55.5,0.2,106.3,3.02,0.2,0.47,10.3,1.74,2.01,1.88,0.81,0.94
1156,0.04,0.36,0.13,0.0,37.9,56.9,0.18,191.1,0.18,0.13,1.26,11.7,4.39,2.51,1.57,1.7,1.39
1157,0.05,0.32,0.17,0.05,29.9,55.1,0.43,139.6,1.49,0.05,0.69,8.35,2.93,2.23,2.61,0.64,1.01
1158,0.11,0.64,0.17,0.35,65.9,89.9,0.67,259.3,3.16,0.57,0.6,10.1,2.06,1.74,1.52,0.74,1.17
1160,0.04,0.39,0.09,0.0,33.5,50.2,0.14,137.8,0.0,0.0,0.81,9.96,4.89,1.8,2.04,1.41,2.82
1161,0.05,0.28,0.17,0.05,36.3,54.1,0.41,171.1,0.23,0.09,1.47,11.7,4.52,2.67,1.89,1.06,2.17
1169,0.0,0.33,0.0,0.04,45.8,60.9,0.15,243.7,0.44,0.11,0.87,11.3,2.58,1.85,1.24,1.09,2.22
1171,0.07,0.36,0.2,0.07,16.7,36.1,0.43,76.1,1.67,0.22,0.65,12.5,2.17,1.52,2.25,1.45,1.16
1173,0.0,0.73,0.0,0.05,49.2,69.4,0.63,267.9,2.86,0.1,0.68,9.11,2.03,1.77,1.67,0.89,0.57
1174,0.06,0.76,0.08,0.0,55.9,70.8,0.13,213.6,0.06,0.13,0.89,9.36,3.18,1.78,1.66,1.15,3.25
1175,0.12,0.3,0.4,0.0,36.7,57.4,0.06,218.5,0.18,0.06,0.84,10.7,5.72,1.33,2.47,1.02,3.98
1176,0.05,0.29,0.17,0.0,54.5,74.8,0.49,267.0,0.1,0.1,2.2,15.5,3.8,2.78,2.44,1.76,2.44
1181,0.0,0.52,0.0,0.0,28.7,53.1,1.17,108.2,1.95,0.13,1.95,11.0,1.69,1.95,1.82,1.56,0.52
1182,0.05,0.61,0.08,0.0,35.3,57.9,1.32,159.2,2.08,0.0,0.81,12.3,1.68,1.22,2.34,0.51,1.07
1184,0.12,0.68,0.18,0.0,56.2,68.6,0.12,211.3,0.06,0.09,0.65,7.32,2.86,1.11,1.54,0.77,2.98
1185,0.09,1.42,0.06,0.0,64.2,81.9,0.21,284.0,0.42,0.24,0.83,8.72,3.26,1.28,1.22,1.22,1.99
1187,0.0,0.2,0.0,0.0,50.4,64.2,0.0,180.9,0.0,0.0,0.71,10.0,3.98,1.63,1.84,1.43,1.43
1188,0.0,0.4,0.0,0.0,27.7,49.3,0.27,115.1,2.93,0.0,0.67,8.8,2.67,1.73,1.87,0.27,1.33
1189,0.0,0.96,0.0,0.15,62.4,82.3,0.42,228.2,1.54,0.27,1.17,11.5,1.36,1.48,1.45,0.9,0.54
1191,0.0,0.51,0.0,0.0,49.6,66.8,0.13,211.8,0.0,0.06,0.38,5.7,4.56,2.66,1.84,0.82,3.54
1193,0.06,0.37,0.17,0.0,30.5,51.0,0.25,138.9,0.0,0.0,0.8,8.22,4.6,2.45,1.96,1.47,2.33
1194,0.13,1.01,0.13,0.0,31.0,51.3,1.45,160.1,2.45,0.19,0.94,16.3,1.89,1.57,1.32,1.01,1.51
1196,0.0,0.45,0.0,0.11,47.6,68.8,0.8,213.7,1.14,0.11,0.8,9.09,1.7,2.16,2.61,0.57,1.48
1197,0.0,0.51,0.0,0.0,24.6,53.8,0.51,148.5,1.28,0.0,0.77,16.7,2.05,3.33,2.31,1.28,1.03
1198,0.0,0.14,0.0,0.0,49.9,67.3,0.0,253.4,0.54,0.0,1.49,13.2,2.16,2.43,2.03,1.22,1.08
1200,0.07,0.6,0.11,0.0,47.0,70.1,0.2,182.8,0.23,0.0,1.26,9.4,5.75,2.69,2.03,1.16,2.79
1201,0.0,0.03,0.0,0.0,49.3,65.7,0.31,188.3,0.0,0.03,0.73,5.03,4.72,2.27,2.1,0.31,2.2
1204,0.0,0.44,0.0,0.0,79.6,93.1,0.75,393.0,0.17,0.08,1.17,8.25,2.53,2.22,1.36,0.47,1.69
1205,0.0,0.76,0.0,0.0,41.7,68.0,0.27,227.4,0.79,0.09,1.82,11.0,5.94,2.82,2.09,1.48,3.88
1206,0.0,0.3,0.0,0.03,38.1,54.8,0.44,209.4,0.24,0.03,1.32,8.65,3.24,2.26,1.59,1.18,1.93
1215,0.11,0.72,0.15,0.0,53.7,71.3,0.22,222.7,0.11,0.06,1.22,10.3,4.2,1.88,1.93,0.88,3.09
1216,0.08,0.53,0.15,0.04,32.0,53.0,0.0,140.3,0.0,0.04,0.65,7.02,6.82,1.43,1.31,0.94,3.27
1217,0.04,0.28,0.14,0.12,35.0,57.1,1.24,143.8,2.31,0.16,1.59,21.7,1.63,1.31,1.63,1.51,0.72
1218,0.0,0.45,0.0,0.05,46.8,66.0,0.61,247.9,1.97,0.3,0.86,10.9,1.87,1.77,1.72,1.67,1.87
1221,0.0,0.51,0.0,0.0,34.9,55.6,0.32,134.6,0.76,0.13,1.46,13.6,3.86,3.23,2.03,2.41,2.91
1222,0.0,0.43,0.0,0.0,28.9,46.0,0.0,119.0,0.0,0.0,1.02,7.69,4.41,2.9,1.51,0.97,2.96
1224,0.0,0.16,0.0,0.0,69.5,88.4,0.16,294.1,0.66,0.16,0.66,11.1,4.26,1.97,1.48,1.48,2.3
1227,0.0,0.48,0.0,0.0,26.2,39.9,0.0,136.6,0.16,0.0,0.63,6.93,4.97,1.16,1.48,1.32,3.12
1228,0.0,0.59,0.0,0.0,42.4,59.7,0.3,214.1,0.07,0.0,0.52,8.19,3.76,1.37,1.4,1.25,3.03
1229,0.05,0.85,0.06,0.09,38.9,63.0,1.13,178.8,1.37,0.14,1.08,18.1,1.6,1.75,2.03,1.42,1.08
1231,0.08,0.83,0.1,0.08,28.3,51.0,0.38,171.5,0.25,0.17,0.46,6.29,5.04,3.13,1.54,1.38,2.13
1235,0.0,0.29,0.0,0.0,26.9,50.0,0.0,111.1,0.0,0.0,0.86,13.1,7.14,3.43,2.0,2.57,3.14
1236,0.13,1.2,0.11,0.03,45.6,70.3,0.68,234.1,0.32,0.1,1.72,9.74,5.53,2.59,2.1,1.1,4.17
1237,0.0,0.77,0.0,0.15,38.8,60.0,0.92,148.5,2.0,0.15,1.08,10.0,1.85,1.08,1.69,1.08,1.69
1238,0.0,0.45,0.0,0.19,43.2,71.4,0.26,183.2,2.75,0.37,1.52,16.0,1.86,1.97,1.82,1.26,1.56
1242,0.0,0.32,0.0,0.22,59.6,81.9,0.65,223.4,1.61,0.32,1.94,11.8,0.97,2.15,1.72,1.83,1.29
1244,0.0,0.57,0.0,0.0,37.2,54.3,0.57,189.2,0.13,0.0,1.59,11.1,2.48,3.69,2.23,1.27,1.53
1246,0.0,0.8,0.0,0.04,38.3,61.9,1.56,202.6,1.1,0.04,1.69,16.0,2.41,1.81,1.81,0.97,0.84
1250,0.0,0.52,0.0,0.17,27.2,49.1,0.43,160.2,2.24,0.34,1.21,19.8,1.9,1.64,2.59,2.33,1.12
1252,0.0,0.34,0.0,0.17,52.7,74.2,0.67,245.8,2.47,0.34,0.73,10.7,1.24,0.84,2.25,1.97,1.24
1254,0.0,0.38,0.0,0.0,56.8,81.3,0.19,249.7,1.71,0.1,1.43,13.0,1.9,2.38,1.24,1.71,1.52
1255,0.0,0.21,0.0,0.0,30.4,51.9,0.21,111.1,0.0,0.0,0.85,5.11,8.51,2.98,1.91,1.06,3.83
1258,0.07,0.64,0.11,0.27,48.1,72.4,0.47,243.5,2.97,0.41,0.81,11.2,1.52,1.96,1.49,0.64,0.44
1261,0.0,0.13,0.0,0.0,31.3,53.8,0.0,108.6,0.51,0.0,1.14,12.5,1.39,1.77,2.91,1.14,1.52
1262,0.1,0.61,0.17,0.0,79.8,95.7,0.17,385.6,0.03,0.03,0.78,5.88,3.88,2.21,2.21,0.44,2.31
1263,0.04,0.54,0.08,0.0,54.1,72.2,0.72,255.4,0.18,0.09,1.08,11.3,3.18,2.33,1.26,1.17,2.96
1265,0.1,1.41,0.07,0.14,37.2,61.7,1.76,196.9,2.28,0.21,0.79,12.1,1.55,1.31,1.34,1.66,2.0
1266,0.0,0.26,0.0,0.0,42.6,62.1,1.28,255.4,1.28,0.0,0.51,9.23,1.28,2.31,1.54,0.0,0.77
1271,0.0,0.54,0.0,0.0,30.8,50.8,0.15,152.8,0.38,0.0,0.85,6.54,4.0,1.54,2.23,1.08,5.31
1272,0.09,0.74,0.12,0.0,56.8,69.0,0.31,238.6,0.06,0.03,0.71,6.89,2.77,1.09,1.66,1.31,1.91
1274,0.13,0.47,0.27,0.0,40.0,54.3,0.09,151.6,0.04,0.04,0.95,7.93,3.92,1.55,1.94,0.39,2.59
1275,0.06,0.73,0.08,0.06,53.0,76.0,0.42,207.4,3.76,0.12,1.21,11.8,2.12,1.21,1.45,1.09,1.33
1276,0.0,0.46,0.0,0.04,43.5,73.3,1.54,231.5,1.86,0.14,2.39,16.2,2.74,3.75,2.6,1.58,1.96
1279,0.05,0.64,0.07,0.0,36.2,58.0,1.0,139.8,1.83,0.23,0.68,9.32,1.96,1.64,1.51,0.82,0.55
1280,0.04,0.9,0.04,0.29,47.2,73.6,1.26,265.0,4.89,0.47,0.54,9.06,1.83,1.33,1.69,0.54,0.86
1284,0.0,0.28,0.0,0.0,37.6,49.8,0.24,147.8,0.12,0.04,0.48,6.55,3.57,1.75,1.39,0.99,2.42
1286,0.04,0.69,0.06,0.12,33.9,56.9,0.93,167.4,2.05,0.19,1.2,15.3,2.08,1.97,1.2,1.04,1.51
1288,0.18,0.27,0.67,0.09,43.6,63.6,0.18,203.5,0.27,0.09,1.36,12.0,3.73,2.64,1.64,1.27,3.09
1289,0.04,0.29,0.13,0.0,56.7,77.1,0.22,247.4,0.18,0.0,1.08,9.35,5.02,1.81,2.02,1.16,3.57
1290,0.15,1.79,0.08,0.0,33.4,56.6,0.15,209.1,0.45,0.0,1.79,11.6,3.88,3.13,2.09,2.09,4.63
1292,0.14,0.56,0.25,0.0,71.9,93.3,1.11,340.3,1.25,0.14,1.53,15.4,1.81,2.92,1.81,0.83,0.83
1294,0.0,0.7,0.0,0.0,55.2,77.6,0.5,217.0,1.0,0.0,1.7,13.4,2.1,2.3,2.3,1.2,1.4
1295,0.0,0.0,0.0,0.0,38.7,61.2,0.11,209.8,0.0,0.0,1.33,10.2,5.11,3.0,1.78,1.22,2.11
1298,0.03,0.39,0.08,0.03,44.1,68.3,1.61,231.3,1.84,0.1,2.34,16.1,1.88,1.78,2.27,1.68,0.53
1299,0.08,0.73,0.11,0.0,73.0,85.6,0.48,388.9,0.08,0.08,0.32,4.68,3.31,1.37,0.73,0.24,4.35
1300,0.0,0.87,0.0,0.0,41.5,60.6,0.19,202.4,0.58,0.0,0.77,8.37,5.96,1.35,2.02,0.77,3.46
1302,0.04,0.48,0.09,0.0,46.4,65.9,0.18,195.7,0.0,0.09,1.54,17.0,3.6,2.76,2.5,1.27,2.06
1303,0.0,1.18,0.0,0.13,28.8,45.8,0.39,111.3,1.58,0.13,0.53,8.16,1.32,1.05,1.05,0.53,0.79
1306,0.0,0.47,0.0,0.1,33.6,59.0,0.47,120.0,2.66,0.23,1.66,17.3,1.26,2.19,1.99,1.89,0.96
1309,0.0,1.14,0.0,0.0,31.9,51.3,0.51,146.6,0.0,0.0,0.51,7.59,6.96,2.28,1.01,2.28,4.18
1311,0.05,0.78,0.06,0.1,77.1,93.6,0.34,369.4,0.34,0.25,1.08,7.45,3.04,1.76,1.18,0.54,2.7
1313,0.0,0.49,0.0,0.0,37.5,60.1,0.88,185.0,0.78,0.1,0.88,15.5,4.12,3.04,1.96,1.18,3.24
1315,0.0,0.58,0.0,0.0,37.7,56.1,0.15,196.7,0.07,0.07,1.61,13.6,4.74,1.75,2.04,0.73,2.85
1318,0.06,0.47,0.13,0.06,52.9,70.1,0.47,264.0,0.09,0.06,0.56,7.5,5.22,2.09,1.34,0.63,3.41
1320,0.0,0.85,0.0,0.0,39.9,61.2,0.37,171.3,1.22,0.0,1.46,13.4,3.66,2.07,1.95,2.44,2.32
1322,0.05,0.35,0.14,0.0,62.4,80.8,0.4,377.3,0.1,0.0,1.04,9.9,3.71,2.72,1.73,1.09,2.28
1324,0.06,0.44,0.14,0.06,37.7,60.7,0.06,119.8,2.58,0.06,0.94,12.0,1.57,2.2,2.77,1.19,1.95
1325,0.0,0.38,0.0,0.0,35.5,58.6,0.56,91.2,1.88,0.06,1.44,10.9,2.69,2.19,1.13,0.69,1.5
1326,0.03,0.67,0.04,0.06,23.2,46.0,0.2,84.3,0.06,0.06,1.22,7.57,6.26,2.09,2.67,0.99,4.96
1327,0.08,1.76,0.04,0.08,44.6,67.8,1.53,248.4,2.44,0.23,0.92,11.8,2.29,1.83,1.6,2.06,1.98
1328,0.0,0.23,0.0,0.1,32.2,57.4,1.12,198.2,2.21,0.2,0.79,8.02,2.77,2.38,3.14,0.66,2.18
1330,0.0,0.54,0.0,0.22,48.2,74.9,0.65,195.9,3.42,0.27,1.47,10.7,2.88,1.96,1.58,1.41,1.68
1331,0.0,0.5,0.0,0.0,26.1,53.7,0.76,115.4,1.34,0.0,1.93,16.0,3.78,2.86,1.76,0.92,2.44
1334,0.07,0.78,0.1,0.04,46.0,64.0,0.63,239.9,0.41,0.07,0.93,12.2,2.53,2.64,1.67,1.12,1.45
1335,0.0,0.47,0.0,0.09,38.6,58.2,1.23,227.7,2.45,0.19,0.94,18.6,0.94,1.23,1.04,0.57,0.75
1336,0.0,0.19,0.0,0.05,47.5,71.8,0.85,159.4,1.08,0.05,1.37,18.0,2.26,1.89,2.69,0.94,1.42
1337,0.07,0.46,0.15,0.0,52.0,69.4,0.11,202.0,0.0,0.0,1.33,11.1,4.81,1.65,1.65,1.4,2.63
1340,0.0,0.11,0.0,0.0,29.4,44.3,0.21,132.2,0.11,0.0,1.68,13.5,4.0,1.68,1.58,1.26,2.0
1343,0.05,0.7,0.07,0.14,42.4,63.2,0.61,203.7,3.38,0.14,0.56,7.61,2.16,1.46,1.64,0.33,0.75
1346,0.03,0.58,0.05,0.0,60.8,79.6,0.29,327.5,0.12,0.12,1.36,11.0,3.87,2.28,1.59,0.75,2.14
1349,0.0,0.19,0.0,0.06,48.7,63.7,0.19,177.2,1.35,0.32,0.58,8.32,1.81,1.42,2.19,0.58,0.52
1350,0.06,0.69,0.09,0.06,49.1,68.6,0.38,197.6,0.63,0.19,1.13,13.7,2.69,2.25,1.75,1.88,2.06
1353,0.0,0.59,0.0,0.05,47.2,69.8,0.48,178.4,1.44,0.21,0.91,11.8,2.57,1.93,1.98,1.07,3.05
1354,0.16,0.66,0.25,0.0,45.2,59.5,0.33,146.7,0.0,0.0,0.98,8.03,2.3,1.64,2.13,1.15,2.13
1355,0.0,0.36,0.0,0.0,49.8,65.9,0.33,213.1,0.03,0.03,1.49,13.7,3.34,2.52,1.99,0.73,1.89
1357,0.0,0.72,0.0,0.0,47.9,67.0,0.21,203.6,0.0,0.0,0.72,11.1,3.92,1.65,1.65,1.03,3.61
1360,0.0,0.28,0.0,0.0,31.3,52.9,0.0,190.1,0.14,0.07,1.48,12.6,4.86,1.34,1.48,1.69,1.9
1363,0.16,0.79,0.2,0.03,54.1,71.6,1.01,349.0,0.06,0.09,0.44,6.12,3.79,1.45,1.36,0.6,2.37
1365,0.0,0.37,0.0,0.19,35.9,55.2,0.74,161.3,0.19,0.19,0.37,6.48,5.74,3.52,0.93,0.74,2.96
1367,0.0,1.07,0.0,0.0,29.6,54.3,0.54,146.6,0.71,0.0,1.79,17.0,3.39,2.14,2.68,1.43,1.79
1373,0.0,0.13,0.0,0.0,42.1,65.3,0.5,141.8,0.5,0.0,2.0,18.5,3.75,2.75,2.63,2.88,1.5
1374,0.09,0.97,0.1,0.31,57.0,77.5,0.28,211.6,1.99,0.47,1.0,11.0,2.27,1.65,1.84,1.43,1.43
1375,0.11,0.73,0.15,0.03,43.6,56.6,0.22,159.6,0.17,0.03,0.64,7.28,3.61,2.13,1.32,0.42,1.48
1376,0.08,0.81,0.1,0.0,42.3,66.8,0.65,185.1,2.42,0.0,1.37,10.7,1.69,2.18,1.69,0.73,1.13
1378,0.09,0.9,0.1,0.0,35.2,63.4,0.68,190.0,3.21,0.05,1.09,11.9,3.48,2.31,1.72,1.22,1.99
1379,0.42,0.42,1.0,0.0,39.6,70.0,0.21,79.0,2.29,0.21,2.71,12.5,3.75,2.29,2.5,1.04,2.5
1380,0.0,0.19,0.0,0.0,56.7,79.3,0.56,152.5,2.5,0.0,1.2,12.4,1.39,1.2,1.67,1.48,3.06
1381,0.0,0.13,0.0,0.0,28.6,46.0,0.06,143.9,0.06,0.0,0.65,6.88,5.71,1.49,1.88,1.1,2.08
1382,0.16,1.1,0.15,0.11,52.6,75.3,0.93,290.1,1.98,0.38,0.93,15.4,1.7,1.76,2.58,1.54,1.04
1383,0.0,0.82,0.0,0.21,52.8,82.3,0.93,300.5,5.88,0.31,1.03,14.1,2.27,1.44,1.55,2.27,1.03
1384,0.0,0.36,0.0,0.0,35.2,47.0,0.0,162.1,0.18,0.0,1.07,8.39,2.32,1.61,0.89,0.89,2.14
1386,0.16,0.62,0.27,0.0,44.8,68.3,0.58,234.8,0.33,0.0,1.36,16.1,4.07,2.47,2.76,1.52,2.67
1387,0.18,1.02,0.18,0.11,26.6,45.6,1.31,196.9,0.62,0.25,1.82,16.7,1.05,1.82,2.04,1.42,1.13
1388,0.09,0.45,0.2,0.0,33.9,55.3,0.71,173.5,1.25,0.09,2.05,13.0,2.86,3.48,2.32,0.27,1.79
1393,0.04,0.41,0.1,0.24,83.3,101.7,0.41,437.9,0.16,0.24,1.34,14.6,3.05,2.8,1.38,1.34,3.01
1394,0.0,0.41,0.0,0.0,37.3,57.2,0.51,128.8,1.22,0.0,2.24,13.2,2.76,1.73,1.84,0.51,1.33
1397,0.0,0.49,0.0,0.0,26.3,51.5,0.0,164.9,0.49,0.0,1.71,12.2,5.12,2.93,2.44,1.22,3.66
1398,0.0,0.28,0.0,0.0,31.4,47.7,0.03,181.0,0.03,0.0,0.51,6.52,5.04,1.53,1.87,0.71,2.18
1399,0.0,0.0,0.0,0.0,48.2,68.2,0.79,147.1,0.0,0.0,1.84,12.4,3.95,1.32,3.95,1.05,2.63
1401,0.0,0.55,0.0,0.0,30.2,48.8,0.18,162.9,0.45,0.09,1.09,10.2,3.82,2.09,2.64,1.27,2.36
1402,0.05,0.44,0.11,0.05,48.6,63.8,0.1,258.5,0.0,0.1,0.79,8.08,4.68,1.72,1.58,0.34,3.1
1405,0.04,0.55,0.07,0.0,33.1,58.8,0.16,143.6,0.47,0.0,1.9,15.0,3.83,2.69,2.13,1.26,2.85
1407,0.0,0.44,0.0,0.0,28.2,52.7,2.22,142.8,1.78,0.11,2.33,18.3,2.11,1.67,2.0,1.44,2.11
1408,0.0,0.2,0.0,0.07,46.6,71.8,0.47,122.6,2.43,0.14,1.62,12.6,2.16,2.64,2.5,1.89,1.35
1409,0.15,0.88,0.17,0.0,65.6,87.6,0.93,298.5,2.75,0.1,1.52,14.4,1.37,1.42,2.16,1.47,0.2
1412,0.03,0.38,0.08,0.03,45.1,69.6,0.47,180.0,0.94,0.06,1.25,11.0,3.04,2.1,2.04,1.5,2.16
